"","state","place","NAME","Total Population","Median Age","Total Male Population","Total Female Population","White Alone","Black or African American Alone","Asian Alone","Hispanic or Latino Population","Median Household Income","Household Income Brackets","Per Capita Income","Population Below Poverty Level","Median Home Value","Median Gross Rent","Labor Force","Unemployed Population","Civilian Employed Population","Industry for Civilian Employed Population","High School Graduate or Equivalent","Bachelor's Degree","Master's Degree","Professional School Degree","Doctorate Degree","Total Housing Units","Occupied Housing Units","Vacant Housing Units","Owner-Occupied Housing Units","Renter-Occupied Housing Units","Total Workers","Workers Who Drive Alone","Workers Using Public Transport","Mean Travel Time to Work (Minutes)","Total Population for Health Insurance Coverage","Population with Public Health Insurance","Population with Private Health Insurance","Population with No Health Insurance"
"104","50","51925","North Springfield",432,60.5,231,201,383,0,0,49,67290,0,35323,0,163000,-666666666,324,0,28,50900,225,46,66,7,0,314,209,105,209,0,324,223,0,4260,401,0,0,32
"105","50","52075","North Troy",550,34.5,263,287,502,7,0,15,51797,12,26426,103,120200,541,229,12,37,42708,125,45,60,19,0,262,219,43,168,51,217,162,0,7365,550,7,0,34
"106","50","52375","North Westminster",152,57.4,58,94,152,0,0,0,69906,0,49914,0,165400,-666666666,96,30,0,61000,62,9,30,18,9,77,77,0,77,0,66,48,0,NA,152,0,0,0
"107","50","52825","Norwich",1081,38.8,479,602,865,0,64,11,167625,8,68969,91,642200,1750,514,13,0,90035,34,0,255,142,122,368,345,23,210,135,497,280,0,7950,1081,0,0,21
"108","50","53125","Old Bennington",153,54.8,78,75,149,0,0,0,154375,0,89091,1,394600,-666666666,79,0,0,106250,2,1,31,46,11,80,74,6,71,3,79,37,4,1470,153,0,0,0
"109","50","53575","Orleans",848,38.2,419,429,829,6,0,16,57604,16,31743,93,156300,757,425,13,21,39375,169,49,141,19,3,436,383,53,240,143,400,350,0,9860,848,0,0,63
"110","50","54175","Pawlet",306,57,128,178,221,0,0,82,53000,0,34943,40,275000,1489,137,7,0,70139,113,12,57,11,0,149,136,13,105,31,130,83,0,5530,306,0,0,55
"111","50","54325","Peacham",277,37.4,106,171,224,0,15,5,-666666666,0,39140,43,239000,-666666666,79,7,0,60667,39,16,57,17,2,128,120,8,94,26,71,71,0,3500,277,0,0,0
"112","50","55525","Pittsford",559,57.6,285,274,555,0,4,0,44107,0,32893,46,162100,-666666666,195,24,0,40250,220,17,105,46,0,408,289,119,254,35,156,129,0,2420,559,0,0,8
"113","50","55750","Plainfield",441,41.8,236,205,405,6,10,12,44698,0,33286,83,163800,1104,252,0,0,43346,67,73,56,5,13,254,220,34,113,107,252,172,0,5310,441,0,0,12
"114","50","56800","Poultney",1105,28,543,562,977,2,17,65,61597,24,26684,112,175000,833,472,42,37,34615,170,61,98,115,6,460,413,47,234,179,394,294,3,10205,1105,0,0,51
"115","50","56950","Pownal",587,29.1,301,286,498,0,0,50,55156,26,16774,127,215900,-666666666,326,55,18,11655,122,29,13,0,0,172,172,0,161,11,271,211,0,4560,587,0,0,13
"116","50","57100","Pownal Center",475,45.6,217,258,461,0,0,14,74286,17,47281,32,424400,-666666666,284,0,0,35556,83,9,70,27,3,257,186,71,138,48,284,195,0,7835,475,0,0,0
"117","50","57246","Proctor",1568,46.6,751,817,1508,0,0,0,65375,8,34866,148,196100,1010,712,19,11,47277,358,99,174,85,20,685,627,58,512,115,687,571,5,14430,1568,16,0,41
"118","50","57400","Proctorsville",309,35.8,162,147,284,3,0,14,64167,9,36049,20,225000,1042,167,0,7,40964,68,15,69,7,2,298,88,210,44,44,167,145,0,3375,307,0,0,13
"119","50","57625","Putney",394,51.5,195,199,368,0,4,0,63750,10,57672,71,262900,808,128,4,22,46190,79,3,68,42,36,220,201,19,90,111,116,106,0,1180,394,0,0,12
"120","50","57775","Quechee",297,64.3,127,170,297,0,0,0,-666666666,0,80504,21,324700,-666666666,147,4,0,170575,9,0,217,45,0,531,222,309,207,15,143,99,0,NA,297,0,0,0
"121","50","58000","Randolph",1946,49.6,922,1024,1800,0,0,31,59203,34,34568,364,225800,961,1083,50,13,41036,444,165,236,242,48,1042,989,53,495,494,998,726,16,16255,1913,0,0,95
"122","50","58525","Readsboro",299,49.1,104,195,299,0,0,0,43472,5,36551,22,160400,701,216,0,10,21939,103,7,9,0,2,186,136,50,65,71,216,215,0,4835,299,0,0,0
"123","50","59050","Richford",1600,36.1,796,804,1507,0,4,48,49954,51,22967,435,157100,1136,618,35,68,45711,448,88,150,12,0,704,608,96,394,214,571,510,0,13760,1587,0,0,87
"124","50","59200","Richmond",675,36,306,369,609,0,48,21,62240,10,46711,35,261900,1814,438,0,0,61250,9,83,146,182,0,329,308,21,142,166,423,269,17,8475,675,0,0,84
"125","50","60025","Rochester",335,56.8,121,214,316,0,8,3,36932,24,32030,46,251500,919,147,19,11,36818,93,11,50,10,25,193,176,17,106,70,120,56,0,2285,335,0,0,6
"126","50","61225","Rutland",15747,48.5,8279,7468,14896,111,103,388,55000,428,36431,2321,176400,942,8051,379,795,41350,3569,1120,2382,1233,202,8445,7440,1005,3918,3522,7581,6111,85,103975,15202,0,0,872
"127","50","61675","St. Albans",6910,38.3,3313,3597,6322,37,0,71,53370,359,34159,1422,245600,1166,3303,54,374,44727,1289,511,1007,315,42,3305,3008,297,1554,1454,3142,2133,0,65470,6827,0,0,498
"128","50","62046","St. George",466,47.4,223,243,424,18,0,2,88750,6,45102,17,316200,1352,257,3,18,49600,85,39,62,33,13,224,210,14,189,21,254,197,0,4130,466,0,0,26
"129","50","62125","St. Johnsbury",5945,43.8,3151,2794,5330,88,5,112,49033,118,34754,1181,171900,887,2988,139,237,39177,1336,184,680,375,101,2963,2705,258,1435,1270,2716,1906,0,42785,5795,0,0,259
"130","50","62950","Saxtons River",519,47,251,268,482,0,16,14,91250,0,62220,44,187100,1144,277,12,0,59449,71,9,65,206,11,270,258,12,96,162,265,67,0,1885,519,0,0,23
"131","50","64000","Sheffield",200,32.3,128,72,186,0,14,25,63750,0,28180,18,106300,983,98,0,7,41389,20,19,17,4,0,84,74,10,59,15,98,89,0,1925,200,0,0,30
"132","50","64225","Shelburne",6292,51.9,2891,3401,5628,37,87,247,106187,101,63296,538,496700,1238,3190,133,55,71539,316,317,1593,1241,250,3020,2795,225,1962,833,3022,2117,50,48710,6179,0,0,113
"133","50","66025","South Barre",1259,52.6,687,572,1161,81,0,0,78162,37,55714,56,246900,1631,927,0,46,54326,238,203,284,50,12,711,670,41,521,149,927,761,0,11580,1259,0,0,27
"134","50","66175","South Burlington",20488,38.8,9999,10489,16790,336,1782,719,97229,319,58423,1638,399600,1755,12644,628,184,57936,1875,1066,5577,2719,572,9587,9307,280,5590,3717,11891,8491,195,187540,20195,87,33,1373
"135","50","66925","South Hero",183,44.7,99,84,183,0,0,17,118750,0,64963,0,442900,-666666666,118,0,0,60227,25,5,52,18,4,139,70,69,70,0,118,95,0,2635,183,0,0,4
"136","50","67150","South Lincoln",159,62.3,80,79,154,0,0,2,123750,0,66324,6,308100,-666666666,118,1,0,48125,40,6,43,13,0,105,85,20,77,8,117,95,0,3900,159,0,0,4
